date,nav
22-06-2026,120.57980
19-06-2026,120.46290
18-06-2026,120.46370
17-06-2026,120.33070
16-06-2026,120.34140
15-06-2026,120.30240
12-06-2026,120.13160
11-06-2026,119.99080
10-06-2026,120.06850
09-06-2026,120.04130
08-06-2026,119.66720
05-06-2026,119.44350
04-06-2026,119.05180
03-06-2026,118.94880
02-06-2026,118.97150
01-06-2026,118.89100
29-05-2026,118.90010
27-05-2026,118.77830
26-05-2026,118.72000
25-05-2026,118.68030
22-05-2026,118.35990
21-05-2026,118.23430
20-05-2026,118.34690
19-05-2026,118.33940
18-05-2026,118.23860
15-05-2026,118.65230
14-05-2026,118.88500
13-05-2026,118.85690
12-05-2026,118.87460
11-05-2026,118.95940
08-05-2026,119.11210
07-05-2026,119.18640
06-05-2026,119.12150
05-05-2026,118.75150
04-05-2026,118.78750
30-04-2026,118.66680
29-04-2026,118.80070
28-04-2026,118.91740
27-04-2026,119.01430
24-04-2026,118.88630
23-04-2026,119.00260
22-04-2026,119.13900
21-04-2026,119.17080
20-04-2026,119.16120
17-04-2026,119.09790
16-04-2026,119.09050
15-04-2026,119.08020
13-04-2026,118.78190
10-04-2026,118.78940
09-04-2026,118.67770
08-04-2026,118.60400
07-04-2026,117.93820
06-04-2026,117.79810
02-04-2026,117.66000
31-03-2026,117.92500
30-03-2026,117.90240
27-03-2026,117.92760
25-03-2026,118.10540
24-03-2026,118.16780
23-03-2026,118.13470
20-03-2026,118.62690
18-03-2026,118.71550
17-03-2026,118.68560
16-03-2026,118.67770
13-03-2026,118.75600
12-03-2026,118.79780
11-03-2026,118.98640
10-03-2026,118.88350
09-03-2026,118.62510
06-03-2026,118.87560
05-03-2026,118.93800
04-03-2026,118.77410
02-03-2026,118.94480
27-02-2026,118.90710
26-02-2026,118.83250
25-02-2026,118.81630
24-02-2026,118.74180
23-02-2026,118.65910
20-02-2026,118.52100
18-02-2026,118.63030
17-02-2026,118.63770
16-02-2026,118.59020
13-02-2026,118.46330
12-02-2026,118.31540
11-02-2026,118.18970
10-02-2026,118.08560
09-02-2026,117.98750
06-02-2026,117.98220
05-02-2026,118.30830
04-02-2026,118.04980
03-02-2026,117.84470
02-02-2026,117.65830
30-01-2026,117.82880
29-01-2026,117.70700
28-01-2026,117.74780
27-01-2026,117.71790
23-01-2026,117.74570
22-01-2026,117.72550
21-01-2026,117.57150
20-01-2026,117.56440
19-01-2026,117.55420
16-01-2026,117.59850
14-01-2026,117.81830
13-01-2026,117.92650
12-01-2026,118.03630
09-01-2026,117.91040
08-01-2026,117.90710
07-01-2026,117.91470
06-01-2026,117.94610
05-01-2026,117.90120
02-01-2026,118.08020
01-01-2026,118.11150
31-12-2025,118.08130
30-12-2025,117.96650
29-12-2025,118.00770
26-12-2025,117.98960
24-12-2025,117.93300
23-12-2025,117.58340
22-12-2025,117.56410
19-12-2025,117.70250
18-12-2025,117.69670
17-12-2025,117.67300
16-12-2025,117.69160
15-12-2025,117.63670
12-12-2025,117.69780
11-12-2025,117.66930
10-12-2025,117.63260
09-12-2025,117.82260
08-12-2025,118.03520
05-12-2025,118.10580
04-12-2025,117.98540
03-12-2025,117.96470
02-12-2025,117.93990
01-12-2025,117.84590
28-11-2025,117.92510
27-11-2025,118.00360
26-11-2025,118.02700
25-11-2025,117.93560
24-11-2025,117.83560
21-11-2025,117.71270
20-11-2025,117.75750
19-11-2025,117.74580
18-11-2025,117.69630
17-11-2025,117.63810
14-11-2025,117.63490
13-11-2025,117.69220
12-11-2025,117.72260
11-11-2025,117.68440
10-11-2025,117.53890
07-11-2025,117.44370
06-11-2025,117.43880
04-11-2025,117.36750
03-11-2025,117.28740
31-10-2025,117.22690
30-10-2025,117.13730
29-10-2025,117.25820
28-10-2025,117.21240
27-10-2025,117.19640
24-10-2025,117.16380
23-10-2025,117.17300
20-10-2025,117.26360
17-10-2025,117.21770
16-10-2025,117.19310
15-10-2025,117.20540
14-10-2025,117.11280
13-10-2025,117.06530
10-10-2025,116.94850
09-10-2025,116.91930
08-10-2025,116.94040
07-10-2025,116.86710
06-10-2025,116.74220
03-10-2025,116.60420
01-10-2025,116.46150
30-09-2025,116.26230
26-09-2025,116.25810
25-09-2025,116.21500
24-09-2025,116.17440
23-09-2025,116.18910
22-09-2025,116.12150
19-09-2025,116.04790
18-09-2025,116.01340
17-09-2025,116.07920
16-09-2025,115.97630
15-09-2025,115.96160
12-09-2025,115.97190
11-09-2025,115.96920
10-09-2025,115.94320
09-09-2025,115.93510
05-09-2025,115.85780
04-09-2025,115.73630
03-09-2025,115.55610
02-09-2025,115.42660
01-09-2025,115.41450
29-08-2025,115.39270
28-08-2025,115.55580
26-08-2025,115.26660
25-08-2025,115.43200
22-08-2025,115.52330
21-08-2025,115.54710
20-08-2025,115.56980
19-08-2025,115.45600
18-08-2025,115.54620
14-08-2025,115.72220
13-08-2025,115.44880
12-08-2025,115.50890
11-08-2025,115.71070
08-08-2025,115.82370
07-08-2025,115.84150
06-08-2025,115.76960
05-08-2025,116.11270
04-08-2025,116.14380
01-08-2025,115.94470
31-07-2025,115.87370
30-07-2025,115.82320
29-07-2025,115.83040
28-07-2025,115.84670
25-07-2025,115.85060
24-07-2025,115.93910
23-07-2025,115.94370
22-07-2025,115.90040
21-07-2025,115.88220
18-07-2025,115.80640
17-07-2025,115.70960
16-07-2025,115.63460
15-07-2025,115.63160
14-07-2025,115.62860
11-07-2025,115.56770
10-07-2025,115.49680
09-07-2025,115.49330
08-07-2025,115.51010
07-07-2025,115.53230
04-07-2025,115.44910
03-07-2025,115.44200
02-07-2025,115.38930
01-07-2025,115.28820
30-06-2025,115.16520
27-06-2025,115.06580
26-06-2025,115.11860
25-06-2025,115.12010
24-06-2025,115.19770
23-06-2025,115.04990
20-06-2025,114.99090
19-06-2025,115.01870
18-06-2025,115.17920
17-06-2025,115.18700
16-06-2025,115.05620
13-06-2025,114.89320
12-06-2025,114.99030
11-06-2025,115.01280
10-06-2025,115.12720
09-06-2025,115.34950
06-06-2025,115.52730
05-06-2025,115.43590
04-06-2025,115.38620
03-06-2025,115.39670
02-06-2025,115.34510
30-05-2025,115.30460
29-05-2025,115.35020
28-05-2025,115.35730
27-05-2025,115.29860
26-05-2025,115.27730
23-05-2025,115.22230
22-05-2025,115.18200
21-05-2025,115.18170
20-05-2025,114.99790
19-05-2025,114.88610
16-05-2025,114.82130
15-05-2025,114.69760
14-05-2025,114.59130
13-05-2025,114.41830
09-05-2025,114.02160
08-05-2025,114.04750
07-05-2025,114.29360
06-05-2025,114.25830
05-05-2025,114.30390
02-05-2025,114.18780
30-04-2025,114.14010
29-04-2025,114.16020
28-04-2025,114.04690
25-04-2025,114.02620
24-04-2025,114.08670
23-04-2025,114.06280
22-04-2025,114.01480
21-04-2025,113.91730
17-04-2025,113.71260
16-04-2025,113.58360
15-04-2025,113.48580
11-04-2025,113.36770
09-04-2025,113.27020
08-04-2025,113.12590
07-04-2025,113.09930
04-04-2025,113.06900
03-04-2025,112.98390
02-04-2025,112.92100
31-03-2025,112.45210
28-03-2025,112.39460
27-03-2025,112.20050
26-03-2025,112.03830
25-03-2025,111.89950
24-03-2025,111.86890
21-03-2025,111.77020
20-03-2025,111.69710
19-03-2025,111.57570
18-03-2025,111.45700
17-03-2025,111.39470
13-03-2025,111.30170
12-03-2025,111.27040
11-03-2025,111.23020
10-03-2025,111.19700
07-03-2025,111.16020
06-03-2025,111.14230
05-03-2025,111.03530
04-03-2025,110.98750
03-03-2025,111.00770
