date,nav
22-06-2026,126.52600
19-06-2026,125.97400
18-06-2026,126.40100
17-06-2026,126.17400
16-06-2026,125.52400
15-06-2026,124.98600
12-06-2026,123.12600
11-06-2026,120.27600
10-06-2026,120.69800
09-06-2026,120.99200
08-06-2026,120.02200
05-06-2026,121.49600
04-06-2026,121.52500
03-06-2026,121.37700
02-06-2026,121.83500
01-06-2026,121.31300
29-05-2026,122.44500
27-05-2026,124.07200
26-05-2026,123.89900
25-05-2026,124.41900
22-05-2026,122.89900
21-05-2026,122.41000
20-05-2026,122.25500
19-05-2026,122.02000
18-05-2026,121.69600
15-05-2026,121.62100
14-05-2026,121.87500
13-05-2026,120.42800
12-05-2026,120.33100
11-05-2026,122.71000
08-05-2026,124.69500
07-05-2026,125.37300
06-05-2026,125.22400
05-05-2026,123.46900
04-05-2026,123.91900
30-04-2026,123.30700
29-04-2026,124.23700
28-04-2026,123.57000
27-04-2026,124.18900
24-04-2026,122.92800
23-04-2026,124.51900
22-04-2026,125.74300
21-04-2026,126.39600
20-04-2026,125.22100
17-04-2026,125.24200
16-04-2026,124.18000
15-04-2026,124.11200
13-04-2026,121.89600
10-04-2026,122.81800
09-04-2026,121.16400
08-04-2026,122.39600
07-04-2026,117.62200
06-04-2026,116.97500
02-04-2026,115.63700
01-04-2026,115.40700
31-03-2026,113.12100
30-03-2026,113.12300
27-03-2026,115.82700
25-03-2026,118.50700
24-03-2026,116.25200
23-03-2026,114.18700
20-03-2026,117.62700
19-03-2026,117.10400
18-03-2026,121.14200
17-03-2026,119.80900
16-03-2026,118.92200
13-03-2026,117.92400
12-03-2026,120.40800
11-03-2026,121.74800
10-03-2026,123.56000
09-03-2026,122.25100
06-03-2026,124.42000
05-03-2026,125.86600
04-03-2026,124.68300
02-03-2026,126.64800
27-02-2026,128.43200
26-02-2026,129.90200
25-02-2026,129.83200
24-02-2026,129.51400
23-02-2026,130.87800
20-02-2026,130.19300
19-02-2026,129.68200
18-02-2026,131.55100
17-02-2026,131.19200
16-02-2026,130.84900
13-02-2026,129.78600
12-02-2026,131.38600
11-02-2026,132.24000
10-02-2026,132.11600
09-02-2026,131.68900
06-02-2026,130.70300
05-02-2026,130.43300
04-02-2026,131.17500
03-02-2026,130.83000
02-02-2026,127.72400
30-01-2026,128.67800
29-01-2026,128.99200
28-01-2026,128.55900
27-01-2026,127.54700
23-01-2026,127.23200
22-01-2026,128.82100
21-01-2026,128.18700
20-01-2026,128.67400
19-01-2026,130.66500
16-01-2026,131.40700
14-01-2026,131.25500
13-01-2026,131.42900
12-01-2026,131.50900
09-01-2026,131.10600
08-01-2026,132.22700
07-01-2026,133.75400
06-01-2026,133.81500
05-01-2026,133.92100
02-01-2026,134.23400
01-01-2026,133.42000
31-12-2025,133.38100
30-12-2025,132.44500
29-12-2025,132.56800
26-12-2025,133.09100
24-12-2025,133.56000
23-12-2025,133.77800
22-12-2025,133.73800
19-12-2025,132.68500
18-12-2025,131.79600
17-12-2025,131.78200
16-12-2025,132.09900
15-12-2025,132.90900
12-12-2025,132.87000
11-12-2025,131.95100
10-12-2025,131.27900
09-12-2025,131.84200
08-12-2025,132.13400
05-12-2025,133.57800
04-12-2025,132.95100
03-12-2025,132.77400
02-12-2025,133.11200
01-12-2025,133.47600
28-11-2025,133.57000
27-11-2025,133.60900
26-11-2025,133.61900
25-11-2025,132.08800
24-11-2025,132.35300
21-11-2025,132.81800
20-11-2025,133.39400
19-11-2025,132.99000
18-11-2025,132.45600
17-11-2025,132.93000
14-11-2025,132.20800
13-11-2025,132.16300
12-11-2025,132.18600
11-11-2025,131.40400
10-11-2025,130.69100
07-11-2025,130.28100
06-11-2025,130.29000
04-11-2025,130.72800
03-11-2025,131.53400
31-10-2025,131.02000
30-10-2025,131.74400
29-10-2025,132.57300
28-10-2025,131.82400
27-10-2025,131.94300
24-10-2025,131.01900
23-10-2025,131.42700
20-10-2025,131.02800
